m_name,me_name
2fe1s_c,eliminate
3haACP_c,EG50003-MONOMER_mod_pan4p_mod_3ha
3hcddec5eACP_c,EG50003-MONOMER_mod_pan4p_mod_3hcddec5e
3hcmrs7eACP_c,EG50003-MONOMER_mod_pan4p_mod_3hcmrs7e
3hcpalm9eACP_c,EG50003-MONOMER_mod_pan4p_mod_3hcpalm
3hcvac11eACP_c,EG50003-MONOMER_mod_pan4p_mod_3hcvac11e
3hddecACP_c,EG50003-MONOMER_mod_pan4p_mod_3hddec
3hdecACP_c,EG50003-MONOMER_mod_pan4p_mod_3hdec
3hhexACP_c,EG50003-MONOMER_mod_pan4p_mod_3hhex
3hmrsACP_c,EG50003-MONOMER_mod_pan4p_mod_3hmrs
3hoctACP_c,EG50003-MONOMER_mod_pan4p_mod_3hoct
3hoctaACP_c,EG50003-MONOMER_mod_pan4p_mod_3hocta
3hpalmACP_c,EG50003-MONOMER_mod_pan4p_mod_3hpalm
3ocddec5eACP_c,EG50003-MONOMER_mod_pan4p_mod_3ocddec5e
3ocmrs7eACP_c,EG50003-MONOMER_mod_pan4p_mod_3ocmrs7e
3ocpalm9eACP_c,EG50003-MONOMER_mod_pan4p_mod_3opalm9e
3ocvac11eACP_c,EG50003-MONOMER_mod_pan4p_mod_3ocvac11e
3oddecACP_c,EG50003-MONOMER_mod_pan4p_mod_3oddec
3odecACP_c,EG50003-MONOMER_mod_pan4p_mod_3odec
3ohexACP_c,EG50003-MONOMER_mod_pan4p_mod_3ohex
3omrsACP_c,EG50003-MONOMER_mod_pan4p_mod_3omrs
3ooctACP_c,EG50003-MONOMER_mod_pan4p_mod_3ooct
3ooctdACP_c,EG50003-MONOMER_mod_pan4p_mod_3ooctd
3opalmACP_c,EG50003-MONOMER_mod_pan4p_mod_3opalm
ACP_c,EG50003-MONOMER_mod_pan4p
acACP_c,EG50003-MONOMER_mod_pan4p_mod_ac
actACP_c,EG50003-MONOMER_mod_pan4p_mod_act
alatrna_c,eliminate
alpp_p,EG10544-MONOMER_mod_palmitate
apoACP_c,EG50003-MONOMER
argtrna_c,eliminate
asntrna_c,eliminate
asptrna_c,eliminate
but2eACP_c,EG50003-MONOMER_mod_pan4p_mod_but2e
butACP_c,EG50003-MONOMER_mod_pan4p_mod_but
bwco1gdp_c,eliminate
bwco_c,eliminate
bwcogdp_c,eliminate
cddec5eACP_c,EG50003-MONOMER_mod_pan4p_mod_cddec5e
cdec3eACP_c,EG50003-MONOMER_mod_pan4p_mod_cdec3e
cystrna_c,eliminate
dcaACP_c,EG50003-MONOMER_mod_pan4p_mod_dca
ddcaACP_c,EG50003-MONOMER_mod_pan4p_mod_ddca
dsbaox_p,DISULFOXRED-MONOMER_mod_Oxidized
dsbard_p,DISULFOXRED-MONOMER
dsbcox_p,DSBC-CPLX_mod_Oxidized
dsbcrd_p,DSBC-CPLX
dsbdox_c,DSBD-MONOMER_mod_Oxidized
dsbdrd_c,DSBD-MONOMER
dsbgox_p,DSBG-CPLX_mod_Oxidized
dsbgrd_p,DSBG-CPLX
egmeACP_c,EG50003-MONOMER_mod_pan4p_mod_egme
epmeACP_c,EG50003-MONOMER_mod_pan4p_mod_epme
flxr_c,FLAVODOXIN1-MONOMER
flxso_c,FLAVODOXIN1-MONOMER_mod_Oxidized
fmettrna_c,eliminate
glntrna_c,eliminate
glutrna_c,eliminate
glytrna_c,eliminate
gmeACP_c,EG50003-MONOMER_mod_pan4p_mod_gme
grxox_c,GLUTAREDOXIN-MONOMER_mod_Oxidized
grxrd_c,GLUTAREDOXIN-MONOMER
hdeACP_c,EG50003-MONOMER_mod_pan4p_mod_hde
hexACP_c,EG50003-MONOMER_mod_pan4p_mod_hex
hgmeACP_c,EG50003-MONOMER_mod_pan4p_mod_hgme
histrna_c,eliminate
hpmeACP_c,EG50003-MONOMER_mod_pan4p_mod_hpme
iletrna_c,eliminate
iscs_c,IscS_mod_pydx5p(2)
iscssh_c,IscS_mod_pydx5p(2)_mod_SH(1)
iscu__2fe2s2_c,IscU_mod_2fe2s2(2)
iscu__2fe2s_c,IscU_mod_2fe2s(2)
iscu__4fe4s_c,IscU_mod_4fe4s(1)
iscu_c,IscU
leutrna_c,eliminate
lipopb_c,eliminate
lpp_p,EG10544-MONOMER
lystrna_c,eliminate
malACP_c,EG50003-MONOMER_mod_pan4p_mod_mal
mettrna_c,eliminate
moadamp_c,EG11597-MONOMER_mod_amp
moadcoo_c,EG11597-MONOMER_mod_coo
moadcosh_c,EG11597-MONOMER_mod_cosh
myrsACP_c,EG50003-MONOMER_mod_pan4p_mod_myrs
ocACP_c,EG50003-MONOMER_mod_pan4p_mod_oc
ocdcaACP_c,EG50003-MONOMER_mod_pan4p_mod_ocdca
octapb_c,eliminate
octeACP_c,EG50003-MONOMER_mod_pan4p_mod_octe
ogmeACP_c,EG50003-MONOMER_mod_pan4p_mod_ogme
opmeACP_c,EG50003-MONOMER_mod_pan4p_mod_opme
palmACP_c,EG50003-MONOMER_mod_pan4p_mod_palm
phetrna_c,eliminate
pimACP_c,EG50003-MONOMER_mod_pan4p_mod_pim
pmeACP_c,EG50003-MONOMER_mod_pan4p_mod_pme
protrna_c,eliminate
sectrna_c,eliminate
sertrna[sec]_c,eliminate
sertrna_c,eliminate
sufbcd__2fe2s2_c,CPLX0-1341_mod_2fe2s2_c
sufbcd__2fe2s_c,CPLX0-1341_mod_2fe2s_c
sufbcd__4fe4s_c,CPLX0-1341_mod_4fe4s_c
sufbcd_c,CPLX0-1341
sufse_c,CPLX0-246_CPLX0-1342_mod_pydx5p
sufsesh_c,CPLX0-246_CPLX0-1342_mod_pydx5p_mod_SH(1)
t3c11vaceACP_c,EG50003-MONOMER_mod_pan4p_mod_t3c11vace
t3c5ddeceACP_c,EG50003-MONOMER_mod_pan4p_mod_t3c5ddece
t3c7mrseACP_c,EG50003-MONOMER_mod_pan4p_mod_t3c7mrse
t3c9palmeACP_c,EG50003-MONOMER_mod_pan4p_mod_t3c9palme
tddec2eACP_c,EG50003-MONOMER_mod_pan4p_mod_tddec2e
tdeACP_c,EG50003-MONOMER_mod_pan4p_mod_tde
tdec2eACP_c,EG50003-MONOMER_mod_pan4p_mod_tdec2e
thex2eACP_c,EG50003-MONOMER_mod_pan4p_mod_thex2e
thrtrna_c,eliminate
tmrs2eACP_c,EG50003-MONOMER_mod_pan4p_mod_tmrs2e
toct2eACP_c,EG50003-MONOMER_mod_pan4p_mod_toct2e
toctd2eACP_c,EG50003-MONOMER_mod_pan4p_mod_toctd2e
tpalm2eACP_c,EG50003-MONOMER_mod_pan4p_mod_tpalm2e
trdox_c,RED-THIOREDOXIN-MONOMER_mod_Oxidized
trdrd_c,RED-THIOREDOXIN-MONOMER
trnaala_c,eliminate
trnaarg_c,eliminate
trnaasn_c,eliminate
trnaasp_c,eliminate
trnacys_c,eliminate
trnagln_c,eliminate
trnaglu_c,eliminate
trnagly_c,eliminate
trnahis_c,eliminate
trnaile_c,eliminate
trnaleu_c,eliminate
trnalys_c,eliminate
trnamet_c,eliminate
trnaphe_c,eliminate
trnapro_c,eliminate
trnasecys_c,eliminate
trnaser_c,eliminate
trnathr_c,eliminate
trnatrp_c,eliminate
trnatyr_c,eliminate
trnaval_c,eliminate
trptrna_c,eliminate
tyrtrna_c,eliminate
valtrna_c,eliminate
wco_c,eliminate
fldox_c,FLAVODOXIN1-MONOMER_mod_Oxidized
fldrd_c,FLAVODOXIN1-MONOMER
